Genes,Result
ENSMUSG00000048216,46
ENSMUSG00000085105,46
ENSMUSG00000102062,46
ENSMUSG00000087480,46
ENSMUSG00000060924,46
ENSMUSG00000074171,46
ENSMUSG00000065147,46
ENSMUSG00000079012,46
ENSMUSG00000097536,46
ENSMUSG00000073433,46
ENSMUSG00000054745,46
ENSMUSG00000051242,46
ENSMUSG00000085289,46
ENSMUSG00000042510,47
ENSMUSG00000073478,47
ENSMUSG00000081137,47
ENSMUSG00000089988,47
ENSMUSG00000028794,47
ENSMUSG00000096351,47
ENSMUSG00000105987,47
ENSMUSG00000097863,47
ENSMUSG00000104682,47
ENSMUSG00000030054,47
ENSMUSG00000048636,47
ENSMUSG00000030031,47
ENSMUSG00000030708,47
ENSMUSG00000020140,47
ENSMUSG00000000982,47
ENSMUSG00000091269,47
ENSMUSG00000054204,47
ENSMUSG00000056656,47
ENSMUSG00000050761,47
ENSMUSG00000003665,47
ENSMUSG00000045498,47
ENSMUSG00000097330,47
ENSMUSG00000081992,48
ENSMUSG00000080796,48
ENSMUSG00000103423,48
ENSMUSG00000093885,48
ENSMUSG00000090602,48
ENSMUSG00000087239,48
ENSMUSG00000063129,48
ENSMUSG00000081453,48
ENSMUSG00000103649,49
ENSMUSG00000075276,49
ENSMUSG00000081400,49
ENSMUSG00000082480,49
ENSMUSG00000082109,49
ENSMUSG00000081892,49
ENSMUSG00000048621,49
ENSMUSG00000100755,49
ENSMUSG00000027833,49
ENSMUSG00000004892,49
ENSMUSG00000074340,49
ENSMUSG00000070858,49
ENSMUSG00000068262,49
ENSMUSG00000055093,49
ENSMUSG00000111875,49
ENSMUSG00000057657,49
ENSMUSG00000063875,49
ENSMUSG00000099492,50
ENSMUSG00000084817,50
ENSMUSG00000100182,50
ENSMUSG00000026357,50
ENSMUSG00000026579,50
ENSMUSG00000081999,50
ENSMUSG00000016255,50
ENSMUSG00000084131,50
ENSMUSG00000036353,50
ENSMUSG00000028860,50
ENSMUSG00000082705,50
ENSMUSG00000109401,50
ENSMUSG00000097889,50
ENSMUSG00000053038,50
ENSMUSG00000111613,50
ENSMUSG00000097946,50
ENSMUSG00000084145,50
ENSMUSG00000017499,50
ENSMUSG00000043501,50
ENSMUSG00000039209,50
ENSMUSG00000058064,50
ENSMUSG00000103818,51
ENSMUSG00000037708,51
ENSMUSG00000081487,51
ENSMUSG00000082651,51
ENSMUSG00000083538,51
ENSMUSG00000106369,51
ENSMUSG00000105071,51
ENSMUSG00000085382,51
ENSMUSG00000081378,51
ENSMUSG00000087135,51
ENSMUSG00000103674,51
ENSMUSG00000065530,51
ENSMUSG00000056055,52
ENSMUSG00000010311,52
ENSMUSG00000104293,52
ENSMUSG00000103867,52
ENSMUSG00000085001,52
ENSMUSG00000064927,52
ENSMUSG00000092526,52
ENSMUSG00000101636,52
ENSMUSG00000097082,52
ENSMUSG00000087912,52
ENSMUSG00000022033,52
ENSMUSG00000111212,52
ENSMUSG00000085415,52
ENSMUSG00000104402,53
