Genes,Result
ENSMUSG00000071041,25
ENSMUSG00000102151,25
ENSMUSG00000053128,25
ENSMUSG00000087239,25
ENSMUSG00000025646,25
ENSMUSG00000091191,25
ENSMUSG00000050107,25
ENSMUSG00000052013,25
ENSMUSG00000073640,25
ENSMUSG00000024268,25
ENSMUSG00000050370,25
ENSMUSG00000025936,26
ENSMUSG00000029279,26
ENSMUSG00000086013,26
ENSMUSG00000025479,26
ENSMUSG00000032246,26
ENSMUSG00000021569,26
ENSMUSG00000024155,26
ENSMUSG00000024388,26
ENSMUSG00000100561,27
ENSMUSG00000090272,27
ENSMUSG00000084328,27
ENSMUSG00000083367,27
ENSMUSG00000102570,27
ENSMUSG00000106443,27
ENSMUSG00000104973,27
ENSMUSG00000107462,27
ENSMUSG00000074355,27
ENSMUSG00000108678,27
ENSMUSG00000019982,27
ENSMUSG00000081873,27
ENSMUSG00000109807,27
ENSMUSG00000090602,27
ENSMUSG00000072066,27
ENSMUSG00000090329,27
ENSMUSG00000093508,27
ENSMUSG00000090291,27
ENSMUSG00000100033,28
ENSMUSG00000099835,28
ENSMUSG00000104212,28
ENSMUSG00000060445,28
ENSMUSG00000083397,28
ENSMUSG00000102550,28
ENSMUSG00000104721,28
ENSMUSG00000105655,28
ENSMUSG00000084235,28
ENSMUSG00000105542,28
ENSMUSG00000108068,28
ENSMUSG00000107937,28
ENSMUSG00000109882,28
ENSMUSG00000109243,28
ENSMUSG00000109787,28
ENSMUSG00000104383,28
ENSMUSG00000104244,28
ENSMUSG00000085415,28
ENSMUSG00000081924,28
ENSMUSG00000087526,28
ENSMUSG00000082307,29
ENSMUSG00000101174,29
ENSMUSG00000082651,29
ENSMUSG00000070891,29
ENSMUSG00000108486,29
ENSMUSG00000062235,29
ENSMUSG00000108920,29
ENSMUSG00000108954,29
ENSMUSG00000098915,29
ENSMUSG00000097838,29
ENSMUSG00000093668,29
ENSMUSG00000104293,30
ENSMUSG00000081730,30
ENSMUSG00000104339,30
ENSMUSG00000104336,30
ENSMUSG00000082061,30
ENSMUSG00000054304,30
ENSMUSG00000105519,30
ENSMUSG00000081865,30
ENSMUSG00000106751,30
ENSMUSG00000091313,30
ENSMUSG00000040121,30
ENSMUSG00000104420,30
ENSMUSG00000079677,30
ENSMUSG00000096947,30
ENSMUSG00000092563,31
ENSMUSG00000103961,31
ENSMUSG00000081648,31
ENSMUSG00000060438,31
ENSMUSG00000081975,31
ENSMUSG00000084345,31
ENSMUSG00000105071,31
ENSMUSG00000085227,31
ENSMUSG00000006649,31
ENSMUSG00000083434,31
ENSMUSG00000025461,31
ENSMUSG00000111868,31
ENSMUSG00000080763,31
ENSMUSG00000101556,31
ENSMUSG00000073435,31
ENSMUSG00000064927,32
ENSMUSG00000027985,32
ENSMUSG00000106717,32
ENSMUSG00000105431,32
ENSMUSG00000106749,32
ENSMUSG00000081564,32
ENSMUSG00000092526,32
ENSMUSG00000101636,32
ENSMUSG00000103931,32
ENSMUSG00000111249,32
ENSMUSG00000110928,32
ENSMUSG00000100176,32
ENSMUSG00000097176,32
ENSMUSG00000097707,32
ENSMUSG00000102719,33
ENSMUSG00000081382,33
ENSMUSG00000103693,33
ENSMUSG00000081583,33
ENSMUSG00000050075,33
ENSMUSG00000105748,33
ENSMUSG00000105201,33
ENSMUSG00000044060,33
ENSMUSG00000108171,33
ENSMUSG00000110159,33
ENSMUSG00000111361,33
ENSMUSG00000084399,33
ENSMUSG00000085192,33
ENSMUSG00000102854,33
ENSMUSG00000103818,34
ENSMUSG00000044916,34
ENSMUSG00000083538,34
ENSMUSG00000015702,34
ENSMUSG00000101641,34
ENSMUSG00000105378,34
ENSMUSG00000104724,34
ENSMUSG00000104576,34
ENSMUSG00000106676,34
ENSMUSG00000061702,34
ENSMUSG00000109429,34
ENSMUSG00000070425,34
ENSMUSG00000110282,34
ENSMUSG00000085229,34
ENSMUSG00000086837,34
ENSMUSG00000035868,34
ENSMUSG00000103085,35
ENSMUSG00000104402,35
ENSMUSG00000103756,35
ENSMUSG00000103808,35
ENSMUSG00000105282,35
ENSMUSG00000104852,35
ENSMUSG00000106840,35
ENSMUSG00000056155,35
ENSMUSG00000110079,35
ENSMUSG00000103621,35
ENSMUSG00000084183,35
ENSMUSG00000081453,35
ENSMUSG00000092397,36
ENSMUSG00000027238,36
ENSMUSG00000045092,36
ENSMUSG00000028328,36
ENSMUSG00000018143,36
ENSMUSG00000019577,36
ENSMUSG00000030103,36
ENSMUSG00000038587,36
ENSMUSG00000019970,36
ENSMUSG00000035621,36
ENSMUSG00000020044,36
ENSMUSG00000032578,36
ENSMUSG00000079243,36
ENSMUSG00000020893,36
ENSMUSG00000018476,36
ENSMUSG00000044951,36
ENSMUSG00000023034,36
ENSMUSG00000022951,36
ENSMUSG00000024978,36
ENSMUSG00000026670,37
ENSMUSG00000043415,37
ENSMUSG00000056501,37
ENSMUSG00000041313,37
ENSMUSG00000090698,37
ENSMUSG00000020023,37
ENSMUSG00000031785,37
ENSMUSG00000051495,37
ENSMUSG00000021823,37
ENSMUSG00000066687,37
ENSMUSG00000051335,37
ENSMUSG00000022893,37
ENSMUSG00000024042,37
ENSMUSG00000017009,38
ENSMUSG00000023087,38
ENSMUSG00000062127,38
ENSMUSG00000028967,38
ENSMUSG00000039899,38
ENSMUSG00000029135,38
ENSMUSG00000037411,38
ENSMUSG00000047735,38
ENSMUSG00000030022,38
ENSMUSG00000074221,38
ENSMUSG00000090958,38
ENSMUSG00000032860,38
ENSMUSG00000020108,38
ENSMUSG00000022018,38
ENSMUSG00000022122,38
ENSMUSG00000050721,38
ENSMUSG00000074794,38
ENSMUSG00000032501,38
ENSMUSG00000022500,38
ENSMUSG00000071637,38
ENSMUSG00000073409,38
ENSMUSG00000039220,38
ENSMUSG00000024561,38
ENSMUSG00000033124,39
ENSMUSG00000017418,39
ENSMUSG00000001333,39
ENSMUSG00000100801,39
ENSMUSG00000056234,39
ENSMUSG00000022096,39
ENSMUSG00000001983,39
