Genes,Result
ENSMUSG00000021678,27
ENSMUSG00000022871,27
ENSMUSG00000040276,27
ENSMUSG00000024989,27
ENSMUSG00000032487,28
ENSMUSG00000015619,28
ENSMUSG00000015093,28
ENSMUSG00000074629,28
ENSMUSG00000028137,28
ENSMUSG00000068745,28
ENSMUSG00000086769,28
ENSMUSG00000089636,28
ENSMUSG00000097231,28
ENSMUSG00000050440,28
ENSMUSG00000097660,28
ENSMUSG00000072244,28
ENSMUSG00000085945,28
ENSMUSG00000037868,28
ENSMUSG00000044006,28
ENSMUSG00000033730,28
ENSMUSG00000086914,28
ENSMUSG00000070291,28
ENSMUSG00000078922,28
ENSMUSG00000047988,28
ENSMUSG00000061718,28
ENSMUSG00000025386,28
ENSMUSG00000034686,28
ENSMUSG00000065336,28
ENSMUSG00000026090,29
ENSMUSG00000026274,29
ENSMUSG00000103711,29
ENSMUSG00000026622,29
ENSMUSG00000097004,29
ENSMUSG00000053178,29
ENSMUSG00000072762,29
ENSMUSG00000050147,29
ENSMUSG00000032028,29
ENSMUSG00000032218,29
ENSMUSG00000035352,29
ENSMUSG00000062248,29
ENSMUSG00000091183,29
ENSMUSG00000037466,29
ENSMUSG00000054115,29
ENSMUSG00000100967,29
ENSMUSG00000072082,29
ENSMUSG00000097324,29
ENSMUSG00000082895,30
ENSMUSG00000045327,30
ENSMUSG00000080836,30
ENSMUSG00000080002,30
ENSMUSG00000030048,30
ENSMUSG00000069972,30
ENSMUSG00000039878,30
ENSMUSG00000110433,30
ENSMUSG00000097633,30
ENSMUSG00000048922,30
ENSMUSG00000040204,30
ENSMUSG00000020911,30
ENSMUSG00000019301,30
ENSMUSG00000063129,30
ENSMUSG00000106463,30
ENSMUSG00000084792,30
ENSMUSG00000026683,31
ENSMUSG00000105304,31
ENSMUSG00000101641,31
ENSMUSG00000097385,31
ENSMUSG00000070425,31
ENSMUSG00000110159,31
ENSMUSG00000046295,31
ENSMUSG00000021965,31
ENSMUSG00000040867,31
ENSMUSG00000086837,31
ENSMUSG00000090273,31
ENSMUSG00000104476,32
ENSMUSG00000044916,32
ENSMUSG00000083538,32
ENSMUSG00000027939,32
ENSMUSG00000105391,32
ENSMUSG00000068744,32
ENSMUSG00000105378,32
ENSMUSG00000104724,32
ENSMUSG00000061702,32
ENSMUSG00000110282,32
ENSMUSG00000096991,32
ENSMUSG00000092540,32
ENSMUSG00000085229,32
ENSMUSG00000091831,32
ENSMUSG00000096699,32
ENSMUSG00000104402,33
ENSMUSG00000103756,33
ENSMUSG00000103818,33
ENSMUSG00000103693,33
ENSMUSG00000050075,33
ENSMUSG00000027985,33
ENSMUSG00000105282,33
ENSMUSG00000106749,33
ENSMUSG00000081564,33
ENSMUSG00000108171,33
ENSMUSG00000103882,33
ENSMUSG00000111361,33
ENSMUSG00000084399,33
ENSMUSG00000110079,33
ENSMUSG00000093561,33
ENSMUSG00000110928,33
ENSMUSG00000100176,33
ENSMUSG00000085192,33
ENSMUSG00000081968,33
ENSMUSG00000102854,33
ENSMUSG00000089877,34
ENSMUSG00000102719,34
ENSMUSG00000081382,34
ENSMUSG00000104145,34
ENSMUSG00000086969,34
ENSMUSG00000081583,34
ENSMUSG00000083502,34
ENSMUSG00000104795,34
ENSMUSG00000105748,34
ENSMUSG00000106717,34
ENSMUSG00000105431,34
ENSMUSG00000106732,34
ENSMUSG00000097464,34
ENSMUSG00000092526,34
ENSMUSG00000101636,34
ENSMUSG00000103931,34
ENSMUSG00000039396,34
ENSMUSG00000111249,34
ENSMUSG00000097176,34
ENSMUSG00000086448,34
ENSMUSG00000054967,34
ENSMUSG00000065530,34
ENSMUSG00000098090,34
ENSMUSG00000097707,34
ENSMUSG00000103973,35
ENSMUSG00000026955,35
ENSMUSG00000083397,35
ENSMUSG00000104721,35
ENSMUSG00000105655,35
ENSMUSG00000085177,35
ENSMUSG00000108068,35
ENSMUSG00000107411,35
ENSMUSG00000098318,35
ENSMUSG00000074355,35
ENSMUSG00000061723,35
ENSMUSG00000104383,35
ENSMUSG00000085415,35
ENSMUSG00000086199,35
ENSMUSG00000068101,35
ENSMUSG00000087526,35
ENSMUSG00000081605,35
ENSMUSG00000036185,35
ENSMUSG00000102571,36
ENSMUSG00000082651,36
ENSMUSG00000087403,36
ENSMUSG00000105990,36
ENSMUSG00000070891,36
ENSMUSG00000054304,36
ENSMUSG00000105071,36
ENSMUSG00000105542,36
ENSMUSG00000081670,36
ENSMUSG00000102516,36
ENSMUSG00000109882,36
ENSMUSG00000109370,36
ENSMUSG00000108954,36
ENSMUSG00000043794,36
ENSMUSG00000079677,36
ENSMUSG00000104244,36
ENSMUSG00000013418,36
ENSMUSG00000097410,36
ENSMUSG00000097838,36
ENSMUSG00000093668,36
ENSMUSG00000032783,36
ENSMUSG00000092571,36
ENSMUSG00000100937,36
ENSMUSG00000104293,37
ENSMUSG00000107491,37
ENSMUSG00000081730,37
ENSMUSG00000104241,37
ENSMUSG00000104339,37
ENSMUSG00000104336,37
ENSMUSG00000105519,37
ENSMUSG00000106676,37
ENSMUSG00000108228,37
ENSMUSG00000054342,37
ENSMUSG00000036931,37
ENSMUSG00000098146,37
ENSMUSG00000104420,37
ENSMUSG00000076961,37
ENSMUSG00000072572,37
ENSMUSG00000075596,37
ENSMUSG00000055945,37
ENSMUSG00000023940,37
ENSMUSG00000103085,38
ENSMUSG00000104378,38
